EmpID,State,City,Branch,Department,JobRole,Age,AgeGroup,Gender,MaritalStatus,Education,MonthlyIncome,OverTime,BusinessTravel,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,YearsAtCompany,HireDate,Attrition
EMP00036,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Operations,Assistant Manager,42,36-45,Male,Married,2,4724,No,Non-Travel,21,4,3,2,4,2021-05-25,No
EMP00037,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Operations,Cashier,27,26-35,Male,Single,5,2134,No,Non-Travel,24,1,2,1,7,2017-12-14,Yes
EMP00038,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Operations,Cashier,54,46-60,Female,Single,2,2230,No,Travel_Rarely,15,4,3,3,8,2020-08-23,No
EMP00039,Selangor,Shah Alam,Shah Alam Branch 2,Operations,Assistant Manager,46,46-60,Female,Married,3,4278,No,Travel_Frequently,6,2,4,3,12,2020-05-14,No
EMP00040,Penang,George Town,George Town Branch 2,HR,HR Executive,26,26-35,Female,Married,2,3858,No,Travel_Rarely,17,4,2,4,1,2016-05-12,No
EMP00041,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Operations,Kitchen Crew,44,36-45,Female,Single,3,2798,No,Non-Travel,15,2,3,3,9,2019-09-30,No
EMP00042,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Sales,Sales Executive,28,26-35,Male,Single,3,3447,No,Non-Travel,12,3,2,3,15,2014-06-12,No
EMP00043,Johor,Johor Bahru,Johor Bahru Branch 1,Operations,Kitchen Crew,36,36-45,Male,Single,3,2342,No,Non-Travel,3,3,2,3,3,2020-01-29,No
EMP00044,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Operations,Branch Manager,36,36-45,Male,Single,4,6081,No,Travel_Rarely,19,2,3,2,1,2018-01-01,No
EMP00045,Penang,George Town,George Town Branch 1,Operations,Cashier,43,36-45,Male,Married,5,2285,Yes,Non-Travel,7,2,2,3,13,2014-03-11,Yes
EMP00046,Sarawak,Kuching,Kuching Branch 2,Sales,Sales Executive,38,36-45,Male,Married,4,3247,No,Non-Travel,25,3,1,2,0,2019-04-19,No
EMP00047,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Operations,Cashier,42,36-45,Male,Single,3,2125,No,Travel_Frequently,19,4,1,2,15,2019-08-26,No
EMP00048,Selangor,Shah Alam,Shah Alam Branch 1,Operations,Delivery Rider,28,26-35,Male,Married,3,2903,No,Travel_Rarely,23,3,4,1,11,2014-05-08,No
EMP00049,Penang,George Town,George Town Branch 1,HR,HR Executive,51,46-60,Female,Single,4,3760,Yes,Non-Travel,21,1,3,1,9,2019-06-06,No
EMP00050,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Operations,Kitchen Crew,47,46-60,Female,Single,3,2037,No,Non-Travel,22,3,3,1,0,2016-11-14,No
EMP00051,Selangor,Shah Alam,Shah Alam Branch 1,Operations,Branch Manager,21,18-25,Male,Single,2,7668,No,Non-Travel,13,2,2,1,10,2023-04-08,No
EMP00052,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,HR,HR Executive,45,36-45,Male,Single,3,3767,Yes,Travel_Frequently,25,4,2,4,7,2020-03-31,No
EMP00053,Sarawak,Kuching,Kuching Branch 2,IT,IT Support,50,46-60,Female,Single,3,4069,No,Non-Travel,4,2,2,1,1,2019-01-19,No
EMP00054,Selangor,Shah Alam,Shah Alam Branch 1,Operations,Kitchen Crew,19,18-25,Female,Married,2,2606,Yes,Non-Travel,1,2,1,2,2,2018-01-21,No
EMP00055,Selangor,Shah Alam,Shah Alam Branch 2,HR,HR Executive,28,26-35,Male,Married,1,4006,No,Non-Travel,7,3,3,1,9,2015-10-21,No
EMP00056,Johor,Johor Bahru,Johor Bahru Branch 1,Operations,Delivery Rider,53,46-60,Female,Married,3,2529,No,Travel_Rarely,18,1,1,2,4,2020-01-04,No
EMP00057,Penang,George Town,George Town Branch 2,Sales,Sales Executive,45,36-45,Female,Married,3,3262,No,Travel_Frequently,22,3,3,4,1,2020-09-06,No
EMP00058,Johor,Johor Bahru,Johor Bahru Branch 2,Finance,Finance Executive,33,26-35,Male,Married,4,4254,No,Travel_Rarely,11,2,1,3,6,2021-09-02,No
EMP00059,Selangor,Shah Alam,Shah Alam Branch 1,Operations,Cashier,39,36-45,Male,Divorced,4,2557,No,Travel_Frequently,24,4,3,2,3,2023-03-18,No
EMP00060,Johor,Johor Bahru,Johor Bahru Branch 1,Sales,Sales Executive,44,36-45,Female,Single,2,3416,Yes,Travel_Rarely,8,1,4,1,13,2017-04-26,No
EMP00061,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Operations,Assistant Manager,48,46-60,Female,Single,2,3789,No,Travel_Frequently,23,2,1,2,3,2019-12-18,No
EMP00062,Penang,George Town,George Town Branch 2,Operations,Assistant Manager,35,26-35,Male,Single,3,3399,No,Non-Travel,7,2,2,4,5,2019-09-04,Yes
EMP00063,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Operations,Kitchen Crew,51,46-60,Female,Married,2,2354,No,Non-Travel,4,2,2,2,9,2022-06-30,No
EMP00064,Johor,Johor Bahru,Johor Bahru Branch 1,Customer Support,Customer Service,34,26-35,Male,Divorced,4,2392,No,Travel_Rarely,16,4,3,3,4,2023-10-28,No
EMP00065,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Operations,Kitchen Crew,28,26-35,Female,Single,3,2696,No,Non-Travel,20,4,2,1,7,2015-06-10,No
EMP00066,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Operations,Cashier,32,26-35,Male,Married,5,2325,No,Travel_Rarely,14,3,3,2,13,2020-08-24,No
EMP00067,Penang,George Town,George Town Branch 1,Operations,Cashier,45,36-45,Female,Divorced,2,2262,No,Non-Travel,20,3,3,4,0,2019-05-07,No
EMP00068,Johor,Johor Bahru,Johor Bahru Branch 1,Operations,Cashier,20,18-25,Male,Single,1,2255,No,Non-Travel,12,3,3,1,12,2022-12-27,No
EMP00069,Penang,George Town,George Town Branch 1,Customer Support,Customer Service,40,36-45,Female,Single,3,2598,No,Non-Travel,25,2,1,3,6,2015-12-29,No
EMP00070,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Operations,Kitchen Crew,53,46-60,Male,Married,3,2364,Yes,Non-Travel,16,3,3,4,13,2021-04-18,No
EMP00071,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,IT,IT Support,26,26-35,Male,Single,3,3126,No,Travel_Rarely,9,3,2,1,2,2017-01-16,No
EMP00072,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Sales,Sales Executive,42,36-45,Female,Married,2,3795,No,Non-Travel,21,3,3,1,5,2023-06-19,No
EMP00073,Selangor,Shah Alam,Shah Alam Branch 1,Operations,Delivery Rider,34,26-35,Female,Single,4,2357,No,Travel_Rarely,22,2,2,3,6,2022-03-05,No
EMP00074,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Sales,Sales Executive,20,18-25,Female,Single,2,3638,No,Non-Travel,1,2,4,4,9,2020-04-18,No
EMP00075,Johor,Johor Bahru,Johor Bahru Branch 1,Operations,Kitchen Crew,50,46-60,Male,Single,3,2009,No,Non-Travel,9,3,2,1,4,2020-09-27,No
EMP00076,Sarawak,Kuching,Kuching Branch 2,Operations,Kitchen Crew,50,46-60,Male,Married,1,1964,Yes,Non-Travel,12,3,3,2,10,2023-12-26,Yes
EMP00077,Johor,Johor Bahru,Johor Bahru Branch 1,Operations,Cashier,41,36-45,Female,Married,2,2037,No,Non-Travel,2,3,1,4,12,2022-05-07,No
EMP00078,Selangor,Shah Alam,Shah Alam Branch 2,Operations,Cashier,47,46-60,Male,Married,2,2199,No,Travel_Rarely,24,4,1,1,15,2014-01-23,No
EMP00079,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Operations,Cashier,40,36-45,Male,Single,3,2575,No,Travel_Rarely,4,2,2,1,13,2014-09-29,No
EMP00080,Johor,Johor Bahru,Johor Bahru Branch 2,Operations,Kitchen Crew,27,26-35,Male,Married,2,1800,No,Travel_Rarely,13,1,3,1,11,2023-11-03,No
EMP00081,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Customer Support,Customer Service,39,36-45,Female,Single,3,3210,No,Travel_Rarely,25,4,2,4,2,2021-04-16,No
EMP00082,Selangor,Shah Alam,Shah Alam Branch 1,Finance,Finance Executive,30,26-35,Female,Single,4,3687,No,Travel_Rarely,25,1,3,2,9,2023-11-11,No
EMP00083,Sarawak,Kuching,Kuching Branch 1,Operations,Cashier,46,46-60,Male,Married,2,2364,No,Travel_Rarely,24,2,4,2,9,2020-03-10,No
EMP00084,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Operations,Kitchen Crew,21,18-25,Female,Married,2,2531,No,Non-Travel,2,1,1,3,1,2015-05-07,No
EMP00085,Johor,Johor Bahru,Johor Bahru Branch 2,Operations,Cashier,33,26-35,Female,Married,4,2052,Yes,Travel_Rarely,11,1,1,1,6,2018-11-16,No
EMP00086,Sarawak,Kuching,Kuching Branch 1,IT,IT Support,34,26-35,Male,Divorced,2,3768,Yes,Non-Travel,19,1,3,4,6,2023-03-24,No
EMP00087,Selangor,Shah Alam,Shah Alam Branch 1,HR,HR Executive,31,26-35,Female,Single,3,3550,Yes,Non-Travel,24,1,2,3,13,2019-06-15,Yes
EMP00088,Penang,George Town,George Town Branch 1,Operations,Cashier,38,36-45,Male,Single,1,2155,Yes,Travel_Rarely,3,3,1,1,8,2015-09-02,No
EMP00089,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Operations,Cashier,47,46-60,Female,Married,3,1857,No,Travel_Frequently,16,3,3,3,12,2021-03-12,No
EMP00090,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Customer Support,Customer Service,37,36-45,Female,Single,2,2466,No,Non-Travel,5,2,2,2,13,2023-09-12,No
EMP00091,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Operations,Kitchen Crew,36,36-45,Male,Single,1,2636,No,Non-Travel,1,4,4,1,3,2020-12-14,No
EMP00092,Johor,Johor Bahru,Johor Bahru Branch 2,Finance,Finance Executive,44,36-45,Female,Married,3,4931,Yes,Travel_Rarely,1,2,2,2,5,2018-07-01,No
EMP00093,Sarawak,Kuching,Kuching Branch 2,IT,IT Support,28,26-35,Female,Single,2,3374,No,Travel_Rarely,18,1,4,1,11,2016-02-22,No
EMP00094,Selangor,Shah Alam,Shah Alam Branch 1,Sales,Sales Executive,51,46-60,Male,Single,2,3281,No,Travel_Rarely,11,4,3,1,2,2020-01-14,No
EMP00095,Selangor,Shah Alam,Shah Alam Branch 1,Customer Support,Customer Service,33,26-35,Male,Single,3,2250,No,Non-Travel,22,1,2,4,11,2023-06-05,Yes
EMP00096,Penang,George Town,George Town Branch 1,Operations,Assistant Manager,24,18-25,Female,Married,3,4558,No,Non-Travel,16,4,4,1,3,2017-08-27,No
EMP00097,Johor,Johor Bahru,Johor Bahru Branch 1,Operations,Kitchen Crew,36,36-45,Female,Single,3,2340,No,Non-Travel,3,4,4,2,12,2020-09-16,No
EMP00098,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Operations,Kitchen Crew,46,46-60,Male,Single,3,2216,No,Non-Travel,20,3,2,4,10,2023-06-03,No
EMP00099,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Operations,Kitchen Crew,44,36-45,Male,Divorced,4,2135,No,Travel_Rarely,12,4,2,4,8,2022-08-21,No
EMP00100,Sarawak,Kuching,Kuching Branch 2,Operations,Cashier,55,46-60,Female,Single,3,2347,No,Non-Travel,11,1,3,2,2,2019-12-14,No
EMP00101,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Operations,Kitchen Crew,41,36-45,Female,Married,3,2254,Yes,Non-Travel,19,2,2,1,14,2017-11-30,No
EMP00102,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Finance,Finance Executive,35,26-35,Female,Single,3,4486,Yes,Travel_Frequently,8,1,3,2,11,2023-05-16,No
EMP00103,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Sales,Sales Executive,23,18-25,Male,Single,2,3461,Yes,Travel_Rarely,15,3,3,4,15,2022-02-04,No
EMP00104,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Operations,Kitchen Crew,32,26-35,Female,Married,3,2551,Yes,Travel_Rarely,24,2,2,3,0,2015-12-30,No
EMP00105,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Operations,Kitchen Crew,26,26-35,Male,Single,2,2475,No,Travel_Frequently,6,2,2,2,9,2017-01-23,No
EMP00106,Sarawak,Kuching,Kuching Branch 1,HR,HR Executive,25,18-25,Female,Single,4,3483,No,Non-Travel,25,4,4,2,11,2018-08-23,No
EMP00107,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Sales,Sales Executive,34,26-35,Female,Single,1,3399,No,Non-Travel,9,4,4,2,12,2015-05-23,No
EMP00108,Sarawak,Kuching,Kuching Branch 1,Finance,Finance Executive,25,18-25,Male,Single,1,3327,No,Non-Travel,17,2,4,4,3,2020-11-05,No
EMP00109,Sarawak,Kuching,Kuching Branch 2,Customer Support,Customer Service,54,46-60,Male,Single,2,2709,Yes,Non-Travel,22,1,2,1,1,2016-03-11,No
EMP00110,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Operations,Delivery Rider,22,18-25,Female,Married,3,2108,No,Non-Travel,1,3,4,2,14,2016-08-06,No
EMP00111,Johor,Johor Bahru,Johor Bahru Branch 1,Sales,Sales Executive,24,18-25,Female,Married,2,3672,No,Travel_Rarely,17,4,2,3,15,2021-12-20,No
EMP00112,Penang,George Town,George Town Branch 2,Operations,Cashier,52,46-60,Male,Single,1,1921,No,Travel_Rarely,15,4,1,2,9,2021-03-05,No
EMP00113,Johor,Johor Bahru,Johor Bahru Branch 2,Customer Support,Customer Service,31,26-35,Male,Single,2,2419,No,Travel_Rarely,24,1,4,3,3,2014-06-06,Yes
EMP00114,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Operations,Assistant Manager,39,36-45,Male,Divorced,2,3560,No,Travel_Rarely,11,4,2,1,13,2014-09-06,No
EMP00115,Johor,Johor Bahru,Johor Bahru Branch 2,Operations,Assistant Manager,29,26-35,Female,Married,4,4846,No,Non-Travel,18,3,4,4,13,2014-09-06,No
EMP00116,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Operations,Kitchen Crew,22,18-25,Male,Married,2,2422,No,Non-Travel,9,2,3,4,13,2014-01-08,No
EMP00117,Sarawak,Kuching,Kuching Branch 2,Operations,Cashier,31,26-35,Female,Married,2,2324,No,Non-Travel,21,1,3,3,8,2020-12-22,No
EMP00118,Johor,Johor Bahru,Johor Bahru Branch 1,Operations,Cashier,49,46-60,Female,Married,3,1800,Yes,Non-Travel,1,1,3,3,8,2014-01-10,No
EMP00119,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Finance,Finance Executive,33,26-35,Male,Divorced,3,4065,No,Non-Travel,1,2,4,2,15,2015-08-20,Yes
EMP00120,Johor,Johor Bahru,Johor Bahru Branch 1,Operations,Cashier,48,46-60,Female,Single,2,2347,No,Travel_Rarely,15,2,3,3,9,2020-09-09,Yes
EMP00121,Penang,George Town,George Town Branch 2,Sales,Sales Executive,45,36-45,Female,Divorced,3,3869,No,Non-Travel,14,1,2,4,15,2016-01-01,No
EMP00122,Selangor,Shah Alam,Shah Alam Branch 2,Sales,Sales Executive,21,18-25,Male,Single,4,3314,Yes,Non-Travel,20,4,3,3,15,2020-08-09,No
EMP00123,Penang,George Town,George Town Branch 1,Customer Support,Customer Service,43,36-45,Female,Married,4,2410,Yes,Travel_Rarely,5,3,1,4,9,2020-01-17,No
EMP00124,Sarawak,Kuching,Kuching Branch 1,Operations,Kitchen Crew,37,36-45,Female,Single,1,2052,No,Travel_Rarely,23,1,4,2,1,2014-01-31,No
EMP00125,Selangor,Shah Alam,Shah Alam Branch 2,Operations,Assistant Manager,43,36-45,Female,Married,1,4671,No,Travel_Rarely,9,2,3,4,0,2020-11-25,No
EMP00126,Sarawak,Kuching,Kuching Branch 2,Finance,Finance Executive,43,36-45,Male,Married,3,3260,No,Travel_Frequently,18,3,4,3,9,2018-04-15,No
EMP00127,Penang,George Town,George Town Branch 1,Operations,Delivery Rider,32,26-35,Female,Single,2,2442,No,Non-Travel,13,4,4,2,10,2015-11-02,Yes
EMP00128,Penang,George Town,George Town Branch 2,Sales,Sales Executive,52,46-60,Female,Married,1,2461,No,Travel_Rarely,5,2,3,2,7,2019-10-26,Yes
EMP00129,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Operations,Assistant Manager,40,36-45,Male,Single,3,4630,No,Non-Travel,13,2,2,4,1,2021-11-08,No
EMP00130,Johor,Johor Bahru,Johor Bahru Branch 1,Operations,Assistant Manager,49,46-60,Male,Married,3,3790,Yes,Non-Travel,2,1,3,1,11,2017-01-05,No
EMP00131,Sarawak,Kuching,Kuching Branch 1,Operations,Kitchen Crew,31,26-35,Female,Married,2,2596,No,Non-Travel,15,2,2,1,3,2021-07-04,No
EMP00132,Sarawak,Kuching,Kuching Branch 1,Operations,Branch Manager,39,36-45,Male,Single,3,5647,No,Travel_Rarely,19,1,3,2,4,2020-09-20,No
EMP00133,Sarawak,Kuching,Kuching Branch 1,Customer Support,Customer Service,33,26-35,Male,Married,4,2679,No,Non-Travel,25,4,1,4,10,2016-06-02,No
EMP00134,Penang,George Town,George Town Branch 2,IT,IT Support,45,36-45,Male,Single,3,3811,No,Non-Travel,3,3,1,2,5,2019-10-25,No
EMP00135,Johor,Johor Bahru,Johor Bahru Branch 1,Operations,Cashier,48,46-60,Female,Single,3,2093,No,Non-Travel,3,2,4,2,7,2016-03-06,No
EMP00136,Selangor,Shah Alam,Shah Alam Branch 2,Operations,Kitchen Crew,35,26-35,Female,Single,2,1831,No,Travel_Rarely,10,3,1,1,15,2015-06-09,No
EMP00137,Penang,George Town,George Town Branch 2,Customer Support,Customer Service,34,26-35,Male,Married,3,2343,No,Non-Travel,19,2,2,3,4,2021-05-07,Yes
EMP00138,Selangor,Shah Alam,Shah Alam Branch 1,Operations,Kitchen Crew,41,36-45,Female,Single,3,2074,No,Non-Travel,8,2,1,4,4,2019-05-23,No
EMP00139,Johor,Johor Bahru,Johor Bahru Branch 1,Operations,Kitchen Crew,53,46-60,Female,Single,2,2502,No,Non-Travel,25,1,1,1,9,2018-06-19,No
EMP00140,Johor,Johor Bahru,Johor Bahru Branch 1,Sales,Sales Executive,32,26-35,Male,Single,3,3400,Yes,Travel_Rarely,24,1,3,3,4,2022-03-16,No
EMP00141,Sarawak,Kuching,Kuching Branch 1,Operations,Branch Manager,38,36-45,Female,Married,2,7112,No,Travel_Rarely,20,3,4,1,10,2017-03-08,No
EMP00142,Penang,George Town,George Town Branch 2,Customer Support,Customer Service,35,26-35,Female,Married,3,3097,Yes,Non-Travel,14,4,1,3,15,2021-11-04,No
EMP00143,Sarawak,Kuching,Kuching Branch 1,Operations,Kitchen Crew,40,36-45,Male,Single,3,1800,Yes,Non-Travel,4,1,1,2,12,2014-08-30,No
EMP00144,Selangor,Shah Alam,Shah Alam Branch 2,Operations,Assistant Manager,50,46-60,Female,Married,1,4302,No,Non-Travel,21,2,4,3,2,2015-01-15,No
EMP00145,Sarawak,Kuching,Kuching Branch 2,Operations,Cashier,40,36-45,Male,Single,4,2093,Yes,Non-Travel,1,4,1,2,15,2017-06-17,No
EMP00146,Sarawak,Kuching,Kuching Branch 1,Operations,Cashier,23,18-25,Female,Single,3,2363,No,Travel_Rarely,16,3,3,2,10,2023-09-13,No
EMP00147,Selangor,Shah Alam,Shah Alam Branch 1,Operations,Kitchen Crew,39,36-45,Female,Single,3,2215,No,Non-Travel,1,2,1,2,6,2014-08-21,No
EMP00148,Johor,Johor Bahru,Johor Bahru Branch 1,Sales,Sales Executive,39,36-45,Male,Divorced,2,3527,No,Non-Travel,19,2,3,3,2,2017-12-02,Yes
EMP00149,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Operations,Kitchen Crew,46,46-60,Male,Married,2,1955,No,Travel_Rarely,2,4,3,3,11,2014-10-28,No
EMP00150,Johor,Johor Bahru,Johor Bahru Branch 1,Operations,Cashier,28,26-35,Female,Married,3,1960,No,Non-Travel,13,1,2,4,6,2017-02-03,No
EMP00151,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Operations,Kitchen Crew,44,36-45,Female,Married,4,2332,Yes,Non-Travel,13,1,2,4,12,2018-08-03,No
EMP00152,Selangor,Shah Alam,Shah Alam Branch 2,Operations,Cashier,43,36-45,Male,Married,2,1802,No,Non-Travel,14,4,2,1,5,2020-12-17,No
EMP00153,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Operations,Kitchen Crew,54,46-60,Male,Single,4,1982,No,Travel_Rarely,10,2,3,4,11,2019-11-30,No
EMP00154,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Operations,Assistant Manager,27,26-35,Female,Married,5,4286,No,Non-Travel,5,2,4,1,10,2021-01-16,No
