TransactionID,Date,State,City,Branch,Region,Product,Quantity,Unit Price,Total Sale,Employee,Channel,PaymentMethod
TXN0000030,2024-01-01,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Soft Drink,2,3.9,7.8,SalesRep_04,Dine-in,eWallet
TXN0000031,2024-01-01,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Chicken Burger,2,10.9,21.8,SalesRep_01,Delivery,eWallet
TXN0000032,2024-01-01,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Fries,3,5.9,17.7,SalesRep_11,Takeaway,Card
TXN0000033,2024-01-01,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Fries,2,5.9,11.8,SalesRep_08,Dine-in,eWallet
TXN0000034,2024-01-01,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Beef Burger,1,12.9,12.9,SalesRep_12,Dine-in,eWallet
TXN0000035,2024-01-01,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Chicken Burger,3,10.9,32.7,SalesRep_03,Delivery,Cash
TXN0000036,2024-01-01,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Beef Burger,3,12.9,38.7,SalesRep_10,Takeaway,Cash
TXN0000037,2024-01-01,Penang,George Town,George Town Branch 1,Penang,Chicken Burger,1,10.9,10.9,SalesRep_03,Takeaway,Cash
TXN0000038,2024-01-01,Penang,George Town,George Town Branch 1,Penang,Spicy Burger,3,14.9,44.7,SalesRep_09,Dine-in,eWallet
TXN0000039,2024-01-01,Penang,George Town,George Town Branch 1,Penang,Fries,1,5.9,5.9,SalesRep_09,Dine-in,eWallet
TXN0000040,2024-01-01,Penang,George Town,George Town Branch 1,Penang,Cheese Burger,3,13.9,41.7,SalesRep_04,Takeaway,eWallet
TXN0000041,2024-01-01,Penang,George Town,George Town Branch 1,Penang,Beef Burger,3,10.96,32.88,SalesRep_08,Takeaway,Cash
TXN0000042,2024-01-01,Penang,George Town,George Town Branch 1,Penang,Chicken Burger,2,10.9,21.8,SalesRep_01,Takeaway,eWallet
TXN0000043,2024-01-01,Penang,George Town,George Town Branch 1,Penang,Fries,3,5.9,17.7,SalesRep_08,Dine-in,Cash
TXN0000044,2024-01-01,Penang,George Town,George Town Branch 1,Penang,Fries,3,5.9,17.7,SalesRep_06,Takeaway,eWallet
TXN0000045,2024-01-01,Penang,George Town,George Town Branch 1,Penang,Soft Drink,1,3.9,3.9,SalesRep_04,Dine-in,Card
TXN0000046,2024-01-01,Penang,George Town,George Town Branch 1,Penang,Veggie Burger,2,11.9,23.8,SalesRep_04,Dine-in,Card
TXN0000047,2024-01-01,Penang,George Town,George Town Branch 1,Penang,Fries,2,5.9,11.8,SalesRep_12,Dine-in,eWallet
TXN0000048,2024-01-01,Penang,George Town,George Town Branch 1,Penang,Chicken Burger,1,10.9,10.9,SalesRep_04,Dine-in,eWallet
TXN0000049,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Chicken Burger,1,10.9,10.9,SalesRep_07,Dine-in,Cash
TXN0000050,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Chicken Burger,1,10.9,10.9,SalesRep_10,Takeaway,eWallet
TXN0000051,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Cheese Burger,1,13.9,13.9,SalesRep_12,Delivery,eWallet
TXN0000052,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Chicken Burger,2,10.9,21.8,SalesRep_11,Dine-in,eWallet
TXN0000053,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Cheese Burger,1,13.2,13.2,SalesRep_05,Takeaway,Cash
TXN0000054,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Fries,1,5.9,5.9,SalesRep_01,Dine-in,eWallet
TXN0000055,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Soft Drink,1,3.9,3.9,SalesRep_12,Takeaway,eWallet
TXN0000056,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Fries,3,5.9,17.7,SalesRep_02,Takeaway,eWallet
TXN0000057,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Cheese Burger,3,13.9,41.7,SalesRep_05,Dine-in,Cash
TXN0000058,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Cheese Burger,1,13.9,13.9,SalesRep_06,Dine-in,Card
TXN0000059,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Beef Burger,2,12.9,25.8,SalesRep_05,Dine-in,eWallet
TXN0000060,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Soft Drink,3,3.9,11.7,SalesRep_06,Takeaway,eWallet
TXN0000061,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Veggie Burger,1,11.9,11.9,SalesRep_10,Takeaway,Card
TXN0000062,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Fries,1,5.9,5.9,SalesRep_03,Delivery,Cash
TXN0000063,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Veggie Burger,2,11.9,23.8,SalesRep_02,Dine-in,eWallet
TXN0000064,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Chicken Burger,3,10.9,32.7,SalesRep_12,Takeaway,eWallet
TXN0000065,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Fries,3,5.9,17.7,SalesRep_12,Takeaway,Cash
TXN0000066,2024-01-01,Penang,George Town,George Town Branch 2,Penang,Veggie Burger,1,11.9,11.9,SalesRep_03,Takeaway,Card
TXN0000067,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Spicy Burger,3,14.9,44.7,SalesRep_10,Dine-in,eWallet
TXN0000068,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Soft Drink,3,3.9,11.7,SalesRep_02,Dine-in,eWallet
TXN0000069,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Cheese Burger,3,13.9,41.7,SalesRep_10,Dine-in,eWallet
TXN0000070,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Fries,2,5.9,11.8,SalesRep_04,Dine-in,Cash
TXN0000071,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Chicken Burger,1,10.9,10.9,SalesRep_12,Dine-in,eWallet
TXN0000072,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Spicy Burger,3,14.9,44.7,SalesRep_12,Dine-in,Card
TXN0000073,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Soft Drink,1,3.9,3.9,SalesRep_09,Dine-in,eWallet
TXN0000074,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Veggie Burger,1,11.9,11.9,SalesRep_02,Takeaway,Cash
TXN0000075,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Cheese Burger,3,13.9,41.7,SalesRep_10,Dine-in,Card
TXN0000076,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Beef Burger,2,12.9,25.8,SalesRep_12,Dine-in,eWallet
TXN0000077,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Soft Drink,3,3.9,11.7,SalesRep_04,Dine-in,eWallet
TXN0000078,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Fries,1,5.9,5.9,SalesRep_08,Delivery,Cash
TXN0000079,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Beef Burger,2,12.9,25.8,SalesRep_02,Dine-in,eWallet
TXN0000080,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Veggie Burger,3,11.3,33.9,SalesRep_02,Takeaway,eWallet
TXN0000081,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 1,Johor,Beef Burger,1,12.9,12.9,SalesRep_03,Takeaway,eWallet
TXN0000082,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 2,Johor,Fries,1,5.9,5.9,SalesRep_10,Dine-in,Card
TXN0000083,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 2,Johor,Chicken Burger,3,10.9,32.7,SalesRep_07,Takeaway,eWallet
TXN0000084,2024-01-01,Johor,Johor Bahru,Johor Bahru Branch 2,Johor,Chicken Burger,3,10.9,32.7,SalesRep_01,Dine-in,eWallet
TXN0000085,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Sabah,Soft Drink,1,3.9,3.9,SalesRep_07,Takeaway,Cash
TXN0000086,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Sabah,Soft Drink,1,3.9,3.9,SalesRep_05,Dine-in,Cash
TXN0000087,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Sabah,Soft Drink,1,3.9,3.9,SalesRep_07,Takeaway,eWallet
TXN0000088,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Sabah,Chicken Burger,3,10.9,32.7,SalesRep_07,Takeaway,eWallet
TXN0000089,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Sabah,Veggie Burger,1,11.9,11.9,SalesRep_02,Takeaway,Card
TXN0000090,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Sabah,Cheese Burger,1,13.9,13.9,SalesRep_12,Dine-in,Card
TXN0000091,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 1,Sabah,Cheese Burger,1,13.9,13.9,SalesRep_05,Dine-in,Card
TXN0000092,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Sabah,Beef Burger,2,12.9,25.8,SalesRep_08,Dine-in,Card
TXN0000093,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Sabah,Cheese Burger,1,13.9,13.9,SalesRep_02,Takeaway,eWallet
TXN0000094,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Sabah,Veggie Burger,2,11.9,23.8,SalesRep_08,Takeaway,Card
TXN0000095,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Sabah,Cheese Burger,1,13.9,13.9,SalesRep_07,Takeaway,eWallet
TXN0000096,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Sabah,Soft Drink,2,3.9,7.8,SalesRep_11,Takeaway,eWallet
TXN0000097,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Sabah,Beef Burger,2,12.9,25.8,SalesRep_05,Dine-in,Cash
TXN0000098,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Sabah,Fries,2,5.9,11.8,SalesRep_01,Dine-in,Cash
TXN0000099,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Sabah,Beef Burger,1,12.9,12.9,SalesRep_11,Takeaway,eWallet
TXN0000100,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Sabah,Cheese Burger,1,13.9,13.9,SalesRep_03,Dine-in,Card
TXN0000101,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Sabah,Soft Drink,2,3.9,7.8,SalesRep_06,Dine-in,eWallet
TXN0000102,2024-01-01,Sabah,Kota Kinabalu,Kota Kinabalu Branch 2,Sabah,Fries,3,5.9,17.7,SalesRep_12,Dine-in,Card
TXN0000103,2024-01-01,Sarawak,Kuching,Kuching Branch 1,Sarawak,Spicy Burger,2,14.9,29.8,SalesRep_09,Takeaway,eWallet
TXN0000104,2024-01-01,Sarawak,Kuching,Kuching Branch 1,Sarawak,Spicy Burger,1,14.9,14.9,SalesRep_10,Dine-in,Card
TXN0000105,2024-01-01,Sarawak,Kuching,Kuching Branch 1,Sarawak,Cheese Burger,3,13.9,41.7,SalesRep_11,Dine-in,Card
TXN0000106,2024-01-01,Sarawak,Kuching,Kuching Branch 1,Sarawak,Chicken Burger,3,10.9,32.7,SalesRep_03,Dine-in,Card
TXN0000107,2024-01-01,Sarawak,Kuching,Kuching Branch 1,Sarawak,Beef Burger,3,12.9,38.7,SalesRep_12,Dine-in,Cash
TXN0000108,2024-01-01,Sarawak,Kuching,Kuching Branch 1,Sarawak,Beef Burger,2,12.9,25.8,SalesRep_11,Takeaway,eWallet
TXN0000109,2024-01-01,Sarawak,Kuching,Kuching Branch 1,Sarawak,Fries,2,5.9,11.8,SalesRep_09,Takeaway,Card
TXN0000110,2024-01-01,Sarawak,Kuching,Kuching Branch 1,Sarawak,Fries,2,5.9,11.8,SalesRep_07,Delivery,Card
TXN0000111,2024-01-01,Sarawak,Kuching,Kuching Branch 1,Sarawak,Soft Drink,3,3.9,11.7,SalesRep_02,Dine-in,Card
TXN0000112,2024-01-01,Sarawak,Kuching,Kuching Branch 1,Sarawak,Spicy Burger,3,14.9,44.7,SalesRep_01,Delivery,eWallet
TXN0000113,2024-01-01,Sarawak,Kuching,Kuching Branch 1,Sarawak,Chicken Burger,2,10.9,21.8,SalesRep_04,Dine-in,eWallet
TXN0000114,2024-01-01,Sarawak,Kuching,Kuching Branch 2,Sarawak,Cheese Burger,1,13.9,13.9,SalesRep_02,Dine-in,Card
TXN0000115,2024-01-01,Sarawak,Kuching,Kuching Branch 2,Sarawak,Fries,2,5.9,11.8,SalesRep_09,Takeaway,Card
TXN0000116,2024-01-01,Sarawak,Kuching,Kuching Branch 2,Sarawak,Fries,3,5.9,17.7,SalesRep_07,Delivery,eWallet
TXN0000117,2024-01-01,Sarawak,Kuching,Kuching Branch 2,Sarawak,Soft Drink,3,3.9,11.7,SalesRep_07,Dine-in,eWallet
TXN0000118,2024-01-01,Sarawak,Kuching,Kuching Branch 2,Sarawak,Veggie Burger,3,11.9,35.7,SalesRep_02,Dine-in,eWallet
TXN0000119,2024-01-01,Sarawak,Kuching,Kuching Branch 2,Sarawak,Fries,3,5.9,17.7,SalesRep_01,Dine-in,eWallet
TXN0000120,2024-01-01,Sarawak,Kuching,Kuching Branch 2,Sarawak,Spicy Burger,1,14.9,14.9,SalesRep_11,Delivery,Card
TXN0000121,2024-01-01,Sarawak,Kuching,Kuching Branch 2,Sarawak,Fries,2,5.9,11.8,SalesRep_03,Takeaway,eWallet
TXN0000122,2024-01-01,Sarawak,Kuching,Kuching Branch 2,Sarawak,Fries,2,5.6,11.2,SalesRep_05,Dine-in,Cash
TXN0000123,2024-01-01,Sarawak,Kuching,Kuching Branch 2,Sarawak,Fries,3,5.9,17.7,SalesRep_09,Delivery,eWallet
TXN0000124,2024-01-01,Sarawak,Kuching,Kuching Branch 2,Sarawak,Fries,2,5.9,11.8,SalesRep_01,Takeaway,eWallet
TXN0000125,2024-01-01,Sarawak,Kuching,Kuching Branch 2,Sarawak,Chicken Burger,3,10.9,32.7,SalesRep_07,Dine-in,Card
TXN0000126,2024-01-01,Sarawak,Kuching,Kuching Branch 2,Sarawak,Soft Drink,2,3.9,7.8,SalesRep_09,Delivery,Card
TXN0000127,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Chicken Burger,3,10.9,32.7,SalesRep_07,Dine-in,eWallet
TXN0000128,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Cheese Burger,1,13.9,13.9,SalesRep_11,Takeaway,Card
TXN0000129,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Beef Burger,3,12.9,38.7,SalesRep_05,Dine-in,eWallet
TXN0000130,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Spicy Burger,1,14.9,14.9,SalesRep_03,Takeaway,Card
TXN0000131,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Beef Burger,2,12.9,25.8,SalesRep_03,Delivery,Card
TXN0000132,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Spicy Burger,1,14.9,14.9,SalesRep_08,Dine-in,Card
TXN0000133,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Soft Drink,3,3.9,11.7,SalesRep_04,Delivery,eWallet
TXN0000134,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 1,Selangor,Beef Burger,3,12.9,38.7,SalesRep_04,Takeaway,eWallet
TXN0000135,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Spicy Burger,1,14.9,14.9,SalesRep_02,Delivery,Cash
TXN0000136,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Chicken Burger,1,10.9,10.9,SalesRep_07,Dine-in,Card
TXN0000137,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Beef Burger,1,12.9,12.9,SalesRep_11,Dine-in,Cash
TXN0000138,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Fries,1,5.9,5.9,SalesRep_12,Dine-in,Card
TXN0000139,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Chicken Burger,1,10.9,10.9,SalesRep_05,Dine-in,Card
TXN0000140,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Spicy Burger,3,14.9,44.7,SalesRep_05,Takeaway,eWallet
TXN0000141,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Beef Burger,2,12.9,25.8,SalesRep_08,Dine-in,eWallet
TXN0000142,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Beef Burger,1,12.9,12.9,SalesRep_03,Dine-in,Card
TXN0000143,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Fries,3,5.9,17.7,SalesRep_08,Dine-in,eWallet
TXN0000144,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Chicken Burger,1,10.9,10.9,SalesRep_10,Dine-in,eWallet
TXN0000145,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Beef Burger,1,12.9,12.9,SalesRep_03,Takeaway,Cash
TXN0000146,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Fries,2,5.9,11.8,SalesRep_06,Takeaway,eWallet
TXN0000147,2024-01-02,Selangor,Shah Alam,Shah Alam Branch 2,Selangor,Beef Burger,1,12.9,12.9,SalesRep_07,Takeaway,eWallet
TXN0000148,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Cheese Burger,2,13.9,27.8,SalesRep_02,Takeaway,eWallet
TXN0000149,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Beef Burger,1,12.9,12.9,SalesRep_08,Dine-in,Cash
TXN0000150,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Cheese Burger,1,11.82,11.82,SalesRep_02,Takeaway,eWallet
TXN0000151,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Fries,3,5.9,17.7,SalesRep_04,Takeaway,Cash
TXN0000152,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Chicken Burger,3,10.9,32.7,SalesRep_09,Takeaway,eWallet
TXN0000153,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Chicken Burger,3,10.9,32.7,SalesRep_01,Takeaway,Cash
TXN0000154,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Soft Drink,1,3.9,3.9,SalesRep_11,Takeaway,Card
TXN0000155,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Chicken Burger,2,10.9,21.8,SalesRep_08,Takeaway,eWallet
TXN0000156,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Chicken Burger,1,10.9,10.9,SalesRep_08,Delivery,Card
TXN0000157,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Veggie Burger,1,11.9,11.9,SalesRep_07,Takeaway,eWallet
TXN0000158,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Spicy Burger,1,14.9,14.9,SalesRep_10,Dine-in,Card
TXN0000159,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Chicken Burger,1,10.9,10.9,SalesRep_10,Dine-in,Cash
TXN0000160,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 1,Kuala Lumpur,Soft Drink,2,3.9,7.8,SalesRep_05,Dine-in,eWallet
TXN0000161,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Chicken Burger,3,10.9,32.7,SalesRep_03,Delivery,Card
TXN0000162,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Cheese Burger,3,13.9,41.7,SalesRep_09,Dine-in,Card
TXN0000163,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Fries,2,5.9,11.8,SalesRep_09,Takeaway,Cash
TXN0000164,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Soft Drink,3,3.9,11.7,SalesRep_11,Dine-in,Card
TXN0000165,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Fries,2,5.9,11.8,SalesRep_01,Dine-in,eWallet
TXN0000166,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Soft Drink,2,3.9,7.8,SalesRep_05,Takeaway,eWallet
TXN0000167,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Cheese Burger,1,13.9,13.9,SalesRep_08,Dine-in,Cash
TXN0000168,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Cheese Burger,2,13.9,27.8,SalesRep_05,Dine-in,eWallet
TXN0000169,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Beef Burger,1,12.9,12.9,SalesRep_12,Dine-in,eWallet
TXN0000170,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Soft Drink,2,3.9,7.8,SalesRep_04,Dine-in,Card
TXN0000171,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Cheese Burger,2,13.2,26.4,SalesRep_01,Delivery,eWallet
TXN0000172,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Spicy Burger,2,14.9,29.8,SalesRep_03,Dine-in,eWallet
TXN0000173,2024-01-02,Kuala Lumpur,Bukit Bintang,Bukit Bintang Branch 2,Kuala Lumpur,Soft Drink,1,3.9,3.9,SalesRep_02,Delivery,eWallet
